month,contact,records,subscriptions,subscription_rate,reported_contacts,ci_low,ci_high,small_samples
apr,cellular,2445,493,0.2016359918200409,4625,0.1862058271321521,0.21800226864668476,False
apr,telephone,187,46,0.24598930481283424,500,0.18978537550867844,0.31241959447690115,False
aug,cellular,5909,619,0.10475545777627349,15703,0.09720223255612824,0.11282226733915053,False
aug,telephone,269,36,0.13382899628252787,771,0.0982573644370673,0.17971197748146706,False
dec,cellular,149,78,0.5234899328859061,320,0.44371550158975537,0.6020835478836866,False
dec,telephone,33,11,0.3333333333333333,73,0.19750029467803698,0.5039241820005003,False
jul,cellular,6096,591,0.09694881889763779,18627,0.08977284292506944,0.10463246753413986,False
jul,telephone,1078,58,0.05380333951762523,4050,0.041849469196894085,0.06892608241805583,False
jun,cellular,820,349,0.42560975609756097,1418,0.3921916640833295,0.4597216163336827,False
jun,telephone,4498,210,0.04668741662961316,14920,0.040899311061538005,0.05324918141318612,False
mar,cellular,486,252,0.5185185185185185,1061,0.47412438342325286,0.5626221893463935,False
mar,telephone,60,24,0.4,142,0.28569303003765506,0.5263417560579315,False
may,cellular,5518,614,0.11127220007249003,12488,0.10324370346773869,0.11984158025354734,False
may,telephone,8251,272,0.03296570112713611,21105,0.029325208090325815,0.03704088668731354,False
nov,cellular,3676,366,0.09956474428726877,6891,0.09029943199165348,0.10966613174348121,False
nov,telephone,425,50,0.11764705882352941,939,0.09038610842461822,0.15175831040042112,False
oct,cellular,563,253,0.4493783303730018,893,0.40876958750116005,0.490673219801621,False
oct,telephone,155,62,0.4,217,0.3261933617957926,0.4786436582291882,False
sep,cellular,482,238,0.49377593360995853,851,0.4493676167706331,0.5382826791282773,False
sep,telephone,88,18,0.20454545454545456,160,0.133486198004829,0.30032157537891,False
