month,records,subscriptions,subscription_rate,reported_contacts,ci_low,ci_high,small_samples
apr,2632,539,0.2047872340425532,5125,0.18980549707099675,0.22062948506146518,False
aug,6178,655,0.1060213661379087,16474,0.09858766398668653,0.11394473089059404,False
dec,182,89,0.489010989010989,393,0.41736744896289496,0.5611088448270853,False
jul,7174,649,0.09046557011430165,22677,0.08404507427171513,0.09732443379878895,False
jun,5318,559,0.10511470477623167,16338,0.09715457348583946,0.1136449362177188,False
mar,546,276,0.5054945054945055,1203,0.4636652636266547,0.5472469700057223,False
may,13769,886,0.06434744716391895,33593,0.06036920495937907,0.06856871878759845,False
nov,4101,416,0.10143867349426969,7830,0.09256815513764408,0.11105519539554093,False
oct,718,315,0.4387186629526462,1110,0.4028425042237873,0.47524709327239467,False
sep,570,256,0.44912280701754387,1011,0.40876426742048133,0.4901625444384009,False
