contact,poutcome,contact_band,records,subscriptions,subscription_rate,reported_contacts,ci_low,ci_high,small_samples
cellular,failure,1,2003,303,0.15127309036445333,2003,0.13624938503502323,0.16763189787240704,False
cellular,failure,2,1114,150,0.13464991023339318,2228,0.11585530892227212,0.15595565248764492,False
cellular,failure,3,377,59,0.15649867374005305,1131,0.12330878936361223,0.19661844547627927,False
cellular,failure,4-5,303,50,0.16501650165016502,1311,0.12746543379509223,0.2109554322152532,False
cellular,failure,6+,155,9,0.05806451612903226,1108,0.03084505141348033,0.10666048869691895,False
cellular,nonexistent,1,9083,1193,0.13134426951447759,9083,0.12455326779613082,0.13844698082710913,False
cellular,nonexistent,2,5193,627,0.12073945696129405,10386,0.11215668341214079,0.12988294311794243,False
cellular,nonexistent,3,2795,315,0.11270125223613596,8385,0.1015051464496344,0.12496054564240824,False
cellular,nonexistent,4-5,2211,219,0.09905020352781546,9721,0.08728500874046273,0.11220627767929746,False
cellular,nonexistent,6+,1640,100,0.06097560975609756,15240,0.05038860133264081,0.07361458729575258,False
cellular,success,1,673,452,0.6716196136701337,673,0.6352517249846709,0.7060393540506601,False
cellular,success,2,370,243,0.6567567567567567,740,0.6069890108981569,0.7033028346321425,False
cellular,success,3,132,91,0.6893939393939394,396,0.6060360765197472,0.7620396823052373,False
cellular,success,4-5,68,32,0.47058823529411764,294,0.3567291108779441,0.5875928418625294,False
cellular,success,6+,27,10,0.37037037037037035,178,0.21532287067936856,0.5577109537655369,True
telephone,failure,1,124,19,0.1532258064516129,124,0.1003417413599266,0.226950783139141,False
telephone,failure,2,66,6,0.09090909090909091,132,0.042332398591397716,0.18448943825082814,False
telephone,failure,3,48,6,0.125,144,0.05856971750400844,0.24700727086054822,False
telephone,failure,4-5,36,1,0.027777777777777776,160,0.004920280295569679,0.141700337350308,False
telephone,failure,6+,26,2,0.07692307692307693,185,0.02135463918337556,0.24141947480515052,True
telephone,nonexistent,1,5708,298,0.052207428170988085,5708,0.04673187228331844,0.05828532567259125,False
telephone,nonexistent,2,3797,167,0.04398209112457203,7594,0.03790763366884528,0.05097836463216256,False
telephone,nonexistent,3,1977,95,0.048052604957005564,5931,0.03946959475347499,0.05838860854758654,False
telephone,nonexistent,4-5,1626,64,0.03936039360393604,7085,0.03094344467882945,0.04994883344194008,False
telephone,nonexistent,6+,1533,63,0.0410958904109589,15612,0.03225198007125482,0.052234020307704215,False
telephone,success,1,51,35,0.6862745098039216,51,0.5497274248374967,0.7967249033221485,False
telephone,success,2,30,18,0.6,60,0.42320052498273836,0.7540960567391659,False
telephone,success,3,12,8,0.6666666666666666,36,0.3906175873976139,0.8618821601026385,True
telephone,success,4-5,6,3,0.5,28,0.18761280689940868,0.8123871931005913,True
telephone,success,6+,4,2,0.5,27,0.15003570882017148,0.8499642911798285,True
